"","Crops","Livestock.Meat","Production.Value.Crops","Production.Value.Livestock","Emissions.Livestock","Emissions.Crops","Fertilizers","Pesticides","Trade.Import.Crops","Trade.Export.Crops","Trade.Import.Livestock","Trade.Export.Livestock"
"Crops",0,1.09939652083184,0.730197428010481,0.491753605905269,1.83958839768659,0.865822239583302,0.904075055545661,1.13149872515682,0.679542528193827,0.980173007907998,0.597219306021943,1.40017356528328
"Livestock.Meat",1.09939652083184,0,0.681033338536894,0.781771286595853,1.82871001459507,0.965558695388326,0.842833060031312,0.716020879404799,0.792779047880417,1.57937706394653,1.1519568806766,1.7542182928495
"Production.Value.Crops",0.730197428010481,0.681033338536894,0,0.366891118802378,1.97995744282803,0.550450376857191,0.622835271799877,0.789474179174789,0.322796247487347,1.36132781183765,0.769215722355758,1.78073393945188
"Production.Value.Livestock",0.491753605905269,0.781771286595853,0.366891118802378,1.49011611938477e-08,1.95341158470628,0.684920401436615,0.636640955397027,0.838310283502577,0.372043212381883,1.30789108976007,0.669474302951537,1.64890550184285
"Emissions.Livestock",1.83958839768659,1.82871001459507,1.97995744282803,1.95341158470628,0,1.90190305053508,1.90080422601889,1.82236346017671,1.95477487320791,1.44448586664207,1.81639699534473,0.844337413605155
"Emissions.Crops",0.865822239583302,0.965558695388326,0.550450376857191,0.684920401436615,1.90190305053508,1.49011611938477e-08,0.719519798060492,0.821102257643799,0.663544351147515,1.30198833567437,0.862910179665648,1.75581455924577
"Fertilizers",0.904075055545661,0.842833060031312,0.622835271799877,0.636640955397027,1.90080422601889,0.719519798060492,0,0.674552249615198,0.737885027105337,1.45677135027817,1.10790702789487,1.78643629246519
"Pesticides",1.13149872515682,0.716020879404799,0.789474179174789,0.838310283502577,1.82236346017671,0.821102257643799,0.674552249615198,0,0.95652061784985,1.55862295174094,1.20392725461484,1.7289685897081
"Trade.Import.Crops",0.679542528193827,0.792779047880417,0.322796247487347,0.372043212381883,1.95477487320791,0.663544351147515,0.737885027105337,0.95652061784985,0,1.37253995738097,0.648127472232951,1.71409824341486
"Trade.Export.Crops",0.980173007907998,1.57937706394653,1.36132781183765,1.30789108976007,1.44448586664207,1.30198833567437,1.45677135027817,1.55862295174094,1.37253995738097,0,1.01861277359315,1.00341738106473
"Trade.Import.Livestock",0.597219306021943,1.1519568806766,0.769215722355758,0.669474302951537,1.81639699534473,0.862910179665648,1.10790702789487,1.20392725461484,0.648127472232951,1.01861277359315,0,1.37579226483932
"Trade.Export.Livestock",1.40017356528328,1.7542182928495,1.78073393945188,1.64890550184285,0.844337413605155,1.75581455924577,1.78643629246519,1.7289685897081,1.71409824341486,1.00341738106473,1.37579226483932,2.1073424255447e-08
